ts,src_ip,dst_ip,pck_len,user,num_attack,ip_diff,range_ip,ip_medium,ip_std,pck_medium,pck_std
1615343361.453508,4846,5145,60,1,1,1,0,5145.0,0.0,60.0,0.0
1615343379.3917036,845,5162,62,2,1,1,0,5162.0,0.0,62.0,0.0
1615343393.552792,2224,5203,60,3,1,1,0,5203.0,0.0,60.0,0.0
1615343409.539317,1698,5197,60,4,1,1,0,5197.0,0.0,60.0,0.0
1615343419.422991,214,5151,60,5,1,1,0,5151.0,0.0,60.0,0.0
1615343422.638883,1256,5098,60,6,1,1,0,5098.0,0.0,60.0,0.0
1615343444.57733,845,5181,62,7,2,2,54,5208.0,27.0,62.0,0.0
1615343446.541157,163,5151,98,8,1,1,0,5151.0,0.0,98.0,0.0
1615343453.2675538,161,5151,98,9,1,1,0,5151.0,0.0,98.0,0.0
1615343453.801312,384,5151,98,10,1,1,0,5151.0,0.0,98.0,0.0
1615343462.221742,845,5235,62,7,2,2,54,5208.0,27.0,62.0,0.0
1615343467.508713,259,5151,98,11,1,1,0,5151.0,0.0,98.0,0.0
1615343473.1716769,156,5151,98,12,1,1,0,5151.0,0.0,98.0,0.0
1615343474.653612,906,5151,60,13,2,1,0,5151.0,0.0,60.0,0.0
1615343474.729942,906,5151,60,13,2,1,0,5151.0,0.0,60.0,0.0
1615343481.097303,262,5151,98,14,1,1,0,5151.0,0.0,98.0,0.0
1615343514.749743,3137,5148,60,15,1,1,0,5148.0,0.0,60.0,0.0
1615343563.2845366,2761,5169,60,16,1,1,0,5169.0,0.0,60.0,0.0
1615343569.1557539,845,5259,62,17,1,1,0,5259.0,0.0,62.0,0.0
1615343698.479091,713,5306,60,18,1,1,0,5306.0,0.0,60.0,0.0
1615343705.890452,845,5231,62,19,2,2,5,5233.5,2.5,62.0,0.0
1615343709.2710311,216,5151,60,20,1,1,0,5151.0,0.0,60.0,0.0
1615343720.2867892,2721,5236,60,21,1,1,0,5236.0,0.0,60.0,0.0
1615343740.27045,896,5151,98,22,1,1,0,5151.0,0.0,98.0,0.0
1615343744.824523,1256,5225,60,23,1,1,0,5225.0,0.0,60.0,0.0
1615343750.3022768,845,5236,62,19,2,2,5,5233.5,2.5,62.0,0.0
1615343753.799835,157,5151,98,24,1,1,0,5151.0,0.0,98.0,0.0
1615343757.468714,2062,5245,60,25,1,1,0,5245.0,0.0,60.0,0.0
1615343760.549249,260,5151,98,26,1,1,0,5151.0,0.0,98.0,0.0
1615343760.692655,153,5151,98,27,1,1,0,5151.0,0.0,98.0,0.0
1615343763.371711,384,5151,98,28,1,1,0,5151.0,0.0,98.0,0.0
1615343774.54556,388,5151,60,29,2,1,0,5151.0,0.0,60.0,0.0
1615343774.6253119,388,5151,60,29,2,1,0,5151.0,0.0,60.0,0.0
1615343777.3055801,227,5151,98,30,1,1,0,5151.0,0.0,98.0,0.0
1615343871.881136,4148,5179,60,31,1,1,0,5179.0,0.0,60.0,0.0
1615343874.186799,845,5194,62,32,1,1,0,5194.0,0.0,62.0,0.0
1615343897.519006,1073,5137,60,33,1,1,0,5137.0,0.0,60.0,0.0
1615344009.146378,215,5151,60,34,1,1,0,5151.0,0.0,60.0,0.0
1615344041.1844866,162,5151,98,35,1,1,0,5151.0,0.0,98.0,0.0
1615344052.4943,160,5151,98,36,1,1,0,5151.0,0.0,98.0,0.0
1615344061.026757,154,5151,98,37,1,1,0,5151.0,0.0,98.0,0.0
1615344061.187576,877,5151,98,38,1,1,0,5151.0,0.0,98.0,0.0
1615344064.745259,156,5151,98,39,1,1,0,5151.0,0.0,98.0,0.0
1615344072.862359,1256,5119,60,40,1,1,0,5119.0,0.0,60.0,0.0
1615344073.464016,906,5151,60,41,2,1,0,5151.0,0.0,60.0,0.0
1615344073.498831,906,5151,60,41,2,1,0,5151.0,0.0,60.0,0.0
1615344077.0388231,260,5151,98,42,1,1,0,5151.0,0.0,98.0,0.0
1615344081.155282,3688,5128,60,43,1,1,0,5128.0,0.0,60.0,0.0
1615344133.32805,845,5283,62,44,2,2,56,5311.0,28.0,62.0,0.0
1615344136.207796,1256,5112,60,45,1,1,0,5112.0,0.0,60.0,0.0
1615344139.281784,845,5339,62,44,2,2,56,5311.0,28.0,62.0,0.0
1615344170.796737,4821,5196,60,46,1,1,0,5196.0,0.0,60.0,0.0
1615344195.85269,845,5152,62,47,3,3,205,5215.0,94.80857907735283,62.0,0.0
1615344220.4782288,845,5349,62,47,3,3,205,5215.0,94.80857907735283,62.0,0.0
1615344225.556338,845,5144,62,47,3,3,205,5215.0,94.80857907735283,62.0,0.0
1615344245.859235,4294,5192,60,48,1,1,0,5192.0,0.0,60.0,0.0
1615344258.7261634,4005,5295,60,49,1,1,0,5295.0,0.0,60.0,0.0
1615344297.493007,912,5128,60,50,1,1,0,5128.0,0.0,60.0,0.0
1615344300.574593,845,5273,62,51,1,1,0,5273.0,0.0,62.0,0.0
1615344309.122803,212,5151,60,52,1,1,0,5151.0,0.0,60.0,0.0
1615344342.2064474,159,5151,98,53,1,1,0,5151.0,0.0,98.0,0.0
1615344353.199322,158,5151,98,54,1,1,0,5151.0,0.0,98.0,0.0
1615344359.898269,164,5151,98,55,1,1,0,5151.0,0.0,98.0,0.0
1615344360.809456,155,5151,98,56,1,1,0,5151.0,0.0,98.0,0.0
1615344365.896901,1256,5303,60,57,1,1,0,5303.0,0.0,60.0,0.0
1615344366.164584,262,5151,98,58,1,1,0,5151.0,0.0,98.0,0.0
1615344373.732456,906,5151,60,59,2,1,0,5151.0,0.0,60.0,0.0
1615344373.762521,906,5151,60,59,2,1,0,5151.0,0.0,60.0,0.0
1615344382.285674,222,5151,98,60,1,1,0,5151.0,0.0,98.0,0.0
1615344408.1823368,4938,5298,60,61,1,1,0,5298.0,0.0,60.0,0.0
1615344435.7491539,4517,5228,74,62,1,1,0,5228.0,0.0,74.0,0.0
1615344532.5255141,845,5172,62,63,1,1,0,5172.0,0.0,62.0,0.0
1615344539.7108939,4887,5201,60,64,1,1,0,5201.0,0.0,60.0,0.0
1615344609.011913,845,5171,62,65,1,1,0,5171.0,0.0,62.0,0.0
1615344609.467368,217,5151,60,66,1,1,0,5151.0,0.0,60.0,0.0
1615344629.9129221,1768,5199,60,67,1,1,0,5199.0,0.0,60.0,0.0
1615344640.573573,381,5151,98,68,1,1,0,5151.0,0.0,98.0,0.0
1615344650.8203561,4847,5280,60,69,1,1,0,5280.0,0.0,60.0,0.0
1615344654.552609,890,5151,98,70,1,1,0,5151.0,0.0,98.0,0.0
1615344660.7922714,878,5151,98,71,1,1,0,5151.0,0.0,98.0,0.0
1615344660.968796,227,5151,98,72,1,1,0,5151.0,0.0,98.0,0.0
1615344662.587831,164,5151,98,73,1,1,0,5151.0,0.0,98.0,0.0
1615344673.394784,906,5151,60,74,2,1,0,5151.0,0.0,60.0,0.0
1615344673.428241,906,5151,60,74,2,1,0,5151.0,0.0,60.0,0.0
1615344675.625647,877,5151,98,75,1,1,0,5151.0,0.0,98.0,0.0
1615344702.754741,1768,5324,60,76,1,1,0,5324.0,0.0,60.0,0.0
1615344758.071155,845,5111,62,77,2,2,9,5106.5,4.5,62.0,0.0
1615344787.1408026,845,5102,62,77,2,2,9,5106.5,4.5,62.0,0.0
1615344818.550634,845,5180,62,78,1,1,0,5180.0,0.0,62.0,0.0
1615344821.471731,1256,5262,60,79,2,2,153,5185.5,76.5,60.0,0.0
1615344848.782168,1256,5109,60,79,2,2,153,5185.5,76.5,60.0,0.0
1615344873.3160212,4974,5321,60,80,1,1,0,5321.0,0.0,60.0,0.0
1615344888.684936,1256,5132,60,81,1,1,0,5132.0,0.0,60.0,0.0
1615344912.3440714,845,5100,62,82,1,1,0,5100.0,0.0,62.0,0.0
1615344918.856134,209,5151,60,83,1,1,0,5151.0,0.0,60.0,0.0
1615344940.307338,154,5151,98,84,1,1,0,5151.0,0.0,98.0,0.0
1615344940.474217,159,5151,98,85,1,1,0,5151.0,0.0,98.0,0.0
1615344943.118161,163,5151,98,86,1,1,0,5151.0,0.0,98.0,0.0
1615344960.3807821,903,5151,98,87,1,1,0,5151.0,0.0,98.0,0.0
1615344961.0655868,895,5151,98,88,1,1,0,5151.0,0.0,98.0,0.0
1615344968.444788,4139,5182,60,89,1,1,0,5182.0,0.0,60.0,0.0
1615344973.804939,388,5151,60,90,2,1,0,5151.0,0.0,60.0,0.0
1615344973.8323472,388,5151,60,90,2,1,0,5151.0,0.0,60.0,0.0
1615344975.6356509,877,5151,98,91,1,1,0,5151.0,0.0,98.0,0.0
1615345030.12908,845,5121,62,92,1,1,0,5121.0,0.0,62.0,0.0
1615345190.417927,845,5210,62,93,1,1,0,5210.0,0.0,62.0,0.0
1615345205.705111,1256,5280,60,94,1,1,0,5280.0,0.0,60.0,0.0
1615345228.958905,211,5151,60,95,1,1,0,5151.0,0.0,60.0,0.0
1615345239.535943,164,5151,98,96,1,1,0,5151.0,0.0,98.0,0.0
1615345239.9020839,1892,5151,98,97,1,1,0,5151.0,0.0,98.0,0.0
1615345242.8900928,160,5151,98,98,1,1,0,5151.0,0.0,98.0,0.0
1615345244.129775,4992,5303,60,99,1,1,0,5303.0,0.0,60.0,0.0
1615345258.5346491,260,5151,98,100,1,1,0,5151.0,0.0,98.0,0.0
1615345261.569027,162,5151,98,101,1,1,0,5151.0,0.0,98.0,0.0
1615345273.472632,222,5151,98,102,1,1,0,5151.0,0.0,98.0,0.0
1615345274.157772,906,5151,60,103,1,1,0,5151.0,0.0,60.0,0.0
1615345274.545295,388,5151,60,104,1,1,0,5151.0,0.0,60.0,0.0
1615345309.4683769,845,5153,62,105,2,2,114,5210.0,57.0,62.0,0.0
1615345316.293968,845,5267,62,105,2,2,114,5210.0,57.0,62.0,0.0
1615345413.09113,4207,5208,60,106,1,1,0,5208.0,0.0,60.0,0.0
1615345472.309793,229,5178,60,107,2,1,0,5178.0,0.0,60.0,0.0
1615345472.4461482,229,5178,60,107,2,1,0,5178.0,0.0,60.0,0.0
1615345507.5635948,1256,5185,60,108,2,2,46,5208.0,23.0,60.0,0.0
1615345518.8904214,210,5151,60,109,1,1,0,5151.0,0.0,60.0,0.0
1615345537.5386221,162,5151,98,110,1,1,0,5151.0,0.0,98.0,0.0
1615345540.650802,895,5151,98,111,1,1,0,5151.0,0.0,98.0,0.0
1615345541.289836,1256,5231,60,108,2,2,46,5208.0,23.0,60.0,0.0
1615345548.1657472,385,5151,98,112,1,1,0,5151.0,0.0,98.0,0.0
1615345558.569966,262,5151,98,113,1,1,0,5151.0,0.0,98.0,0.0
1615345561.4505384,154,5151,98,114,1,1,0,5151.0,0.0,98.0,0.0
1615345573.753575,259,5151,98,115,1,1,0,5151.0,0.0,98.0,0.0
1615345574.0753212,388,5151,60,116,1,1,0,5151.0,0.0,60.0,0.0
1615345574.477734,906,5151,60,117,1,1,0,5151.0,0.0,60.0,0.0
1615345702.430721,1256,5201,60,118,2,2,87,5244.5,43.5,60.0,0.0
1615345707.7914,1256,5288,60,118,2,2,87,5244.5,43.5,60.0,0.0
1615345818.801368,213,5151,60,119,1,1,0,5151.0,0.0,60.0,0.0
1615345827.996915,3138,5143,60,120,1,1,0,5143.0,0.0,60.0,0.0
1615345839.249534,385,5151,98,121,1,1,0,5151.0,0.0,98.0,0.0
1615345839.45029,152,5151,98,122,1,1,0,5151.0,0.0,98.0,0.0
1615345843.812782,157,5151,98,123,1,1,0,5151.0,0.0,98.0,0.0
1615345858.471398,227,5151,98,124,1,1,0,5151.0,0.0,98.0,0.0
1615345861.927226,164,5151,98,125,1,1,0,5151.0,0.0,98.0,0.0
1615345872.478709,845,5117,62,126,1,1,0,5117.0,0.0,62.0,0.0
1615345872.921848,222,5151,98,127,1,1,0,5151.0,0.0,98.0,0.0
1615345873.933102,906,5151,60,128,1,1,0,5151.0,0.0,60.0,0.0
1615345874.53559,388,5151,60,129,1,1,0,5151.0,0.0,60.0,0.0
1615345896.336389,2805,5230,60,130,1,1,0,5230.0,0.0,60.0,0.0
1615345933.9243894,845,5098,62,131,1,1,0,5098.0,0.0,62.0,0.0
1615345947.341871,1256,5327,60,132,1,1,0,5327.0,0.0,60.0,0.0
1615346033.957476,845,5320,62,133,1,1,0,5320.0,0.0,62.0,0.0
1615346047.871276,2105,5350,60,134,1,1,0,5350.0,0.0,60.0,0.0
1615346067.8908381,3129,5102,60,135,1,1,0,5102.0,0.0,60.0,0.0
1615346095.629567,4940,5160,60,136,1,1,0,5160.0,0.0,60.0,0.0
1615346108.001435,4923,5338,74,137,1,1,0,5338.0,0.0,74.0,0.0
1615346110.042084,210,5151,60,138,1,1,0,5151.0,0.0,60.0,0.0
1615346136.816518,158,5151,98,139,1,1,0,5151.0,0.0,98.0,0.0
1615346147.696707,159,5151,98,140,1,1,0,5151.0,0.0,98.0,0.0
1615346153.201516,888,5151,98,141,1,1,0,5151.0,0.0,98.0,0.0
1615346163.877149,2084,5173,60,142,1,1,0,5173.0,0.0,60.0,0.0
1615346175.314439,894,5151,98,143,1,1,0,5151.0,0.0,98.0,0.0
1615346178.9425619,1256,5291,60,144,1,1,0,5291.0,0.0,60.0,0.0
1615346179.148485,388,5151,60,145,1,1,0,5151.0,0.0,60.0,0.0
1615346179.521655,906,5151,60,146,1,1,0,5151.0,0.0,60.0,0.0
1615346322.484749,845,5297,62,147,3,3,95,5247.333333333333,38.90444133457716,62.0,0.0
1615346356.62636,845,5243,62,147,3,3,95,5247.333333333333,38.90444133457716,62.0,0.0
1615346360.322724,845,5202,62,147,3,3,95,5247.333333333333,38.90444133457716,62.0,0.0
1615346409.668796,211,5151,60,148,1,1,0,5151.0,0.0,60.0,0.0
1615346432.787001,384,5151,98,149,1,1,0,5151.0,0.0,98.0,0.0
1615346442.996743,1256,5162,60,150,1,1,0,5162.0,0.0,60.0,0.0
1615346443.983333,383,5151,98,151,1,1,0,5151.0,0.0,98.0,0.0
1615346447.267281,1892,5151,98,152,1,1,0,5151.0,0.0,98.0,0.0
1615346469.683186,381,5151,98,153,1,1,0,5151.0,0.0,98.0,0.0
1615346472.963029,388,5151,60,154,1,1,0,5151.0,0.0,60.0,0.0
1615346524.267815,4926,5217,60,155,1,1,0,5217.0,0.0,60.0,0.0
1615346529.949404,845,5269,62,156,2,2,8,5273.0,4.0,62.0,0.0
1615346568.198092,845,5277,62,156,2,2,8,5273.0,4.0,62.0,0.0
1615346618.405302,2637,5148,60,157,1,1,0,5148.0,0.0,60.0,0.0
1615346638.666642,1256,5202,60,158,2,2,63,5233.5,31.5,60.0,0.0
1615346639.088494,1256,5265,60,158,2,2,63,5233.5,31.5,60.0,0.0
1615346709.916709,213,5151,60,159,1,1,0,5151.0,0.0,60.0,0.0
1615346731.892993,160,5151,98,160,1,1,0,5151.0,0.0,98.0,0.0
1615346744.760572,888,5151,98,161,1,1,0,5151.0,0.0,98.0,0.0
1615346745.139559,155,5151,98,162,1,1,0,5151.0,0.0,98.0,0.0
1615346762.016392,4926,5220,60,163,1,1,0,5220.0,0.0,60.0,0.0
1615346768.152574,162,5151,98,164,1,1,0,5151.0,0.0,98.0,0.0
1615346772.257454,906,5151,60,165,2,1,0,5151.0,0.0,60.0,0.0
1615346772.3073359,906,5151,60,165,2,1,0,5151.0,0.0,60.0,0.0
1615346781.994226,276,5246,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346782.07763,276,5283,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346782.083064,276,5126,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346782.176038,276,5138,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346782.241612,276,5122,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346782.46006,276,5171,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346782.7493384,276,5348,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346782.948689,276,5196,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346782.955345,276,5163,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346783.0005212,276,5185,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346783.242569,276,5344,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346783.277503,276,5222,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346783.556868,276,5152,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346783.6371071,276,5316,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346783.6941779,276,5226,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346783.778498,276,5239,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346784.047394,276,5155,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346784.152538,276,5197,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346784.22385,276,5137,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346784.552312,276,5180,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346784.748608,276,5235,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346784.943318,276,5182,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346785.126455,276,5167,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346785.2933679,276,5310,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346785.318418,276,5260,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346785.402062,276,5276,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346785.709637,276,5192,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346785.987552,276,5158,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346786.1474214,276,5243,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346786.197508,276,5224,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346786.285415,276,5170,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346786.441024,276,5297,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346786.475116,276,5168,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346786.5699198,276,5105,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346786.639926,276,5311,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346786.808136,276,5250,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346787.0471141,276,5342,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346787.375782,276,5227,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346787.458622,276,5103,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346787.844281,276,5161,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346787.866369,276,5216,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346788.179287,276,5274,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346788.298408,276,5120,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346788.444658,276,5315,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346788.451499,276,5244,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346788.562501,276,5241,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346788.7426732,276,5323,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346789.036608,276,5151,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346789.097275,276,5145,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346789.15722,276,5107,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346789.36969,276,5194,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346790.110449,276,5234,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346790.315522,276,5148,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346790.855602,276,5255,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346790.935852,276,5329,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346790.9784849,276,5272,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346791.4780061,276,5263,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346791.500296,276,5349,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346791.564485,276,5156,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346791.679213,276,5223,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346791.705481,276,5345,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346791.822552,276,5147,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346791.8428311,276,5154,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346792.101855,276,5135,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346792.1277368,276,5279,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346792.128284,276,5144,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346792.613301,276,5119,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346792.877585,276,5177,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346793.015887,276,5115,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346793.548045,276,5251,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346793.83251,276,5321,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346794.142205,276,5221,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346794.479744,276,5210,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346794.7715778,276,5215,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346794.951511,276,5318,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346795.24666,276,5341,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346795.339971,276,5193,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346795.667531,276,5257,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346795.7526028,276,5314,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346796.217621,276,5304,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346796.540296,276,5333,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346798.146741,276,5217,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346798.635098,276,5338,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346798.667871,276,5309,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346799.395454,276,5225,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346799.3987026,276,5149,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346799.581325,276,5270,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346799.607441,276,5312,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346799.670438,276,5149,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346799.6803286,276,5225,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346799.738498,276,5121,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346799.923184,276,5149,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346799.9424038,276,5225,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346800.176995,276,5149,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346800.2187119,276,5225,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346800.444714,276,5249,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346800.445729,276,5347,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346800.452621,276,5149,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346800.4698,276,5289,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346800.4731786,276,5225,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346800.492216,276,5173,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346800.497384,276,5172,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346800.6260061,276,5108,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346800.725152,276,5149,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
